Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C15, C16, C3, C4, C6, C7",C_0402,10,1uF,
C10,C_0603_,1,100nF,
"C14, C2",C_0402,2,100nF,
"C17, C18",C_0402,2,4.7uF,
C5,C_0603,1,22uF,
C8,C_0603_,1,10uF 50V,C1591
C9,C_0603_,1,10uF 6.3V,C1691
"D1, D2, D3",D_SOD-123,3,1N5819W,C2905650
J1,24_Pins_0.5mm_Pitch_ZIF_Connector_UP,1,Conn_01x26,C202112
L1,L_0805,1,68uH,C275376
L2,L_4x4_,1,10uH,
Q1,SOT-323_SC-70-3,1,DMG1012T,C469327
R1,R_0402,1,0.47R,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
"R2, R3",R_0402,2,10K,
R9,R_0402_,1,124k,
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
