Designator,Mid X,Mid Y,Rotation,Layer
C1,87.53,100.8,270,top
C10,27.93,69.7,0,top
C11,83.92,100.8,270,top
C12,83.03,100.8,270,top
C13,82.12,100.8,270,top
C14,81.22,100.8,270,top
C15,78.53,100.8,270,top
C16,77.62,100.8,270,top
C17,80.72,99.3,0,top
C18,80.33,100.8,90,top
C19,-1.27,124.4,270,top
C2,3.73,62.0,180,top
C21,5.53,82.1,270,top
C22,11.12,82.1,90,top
C24,160.62,124.5,270,top
C25,160.62,17.6,270,top
C26,-1.18,17.6,270,top
C3,86.62,100.8,270,top
C4,85.72,100.8,270,top
C5,5.95,62.0,0,top
C6,3.23,80.0,180,top
C7,84.83,100.8,270,top
C8,25.43,70.4,90,top
C9,30.43,70.4,90,top
D1,82.33,96.5,90,top
D10,-2.7,17.57,0,top
D2,78.22,96.5,90,top
D3,80.22,96.5,90,top
D4,-2.7,124.42,0,top
D5,162.15,124.42,90,top
D6,23.32,71.9,270,top
D7,8.38,82.05,0,top
D9,162.15,17.57,90,top
J1,80.72,105.0,180,top
J5,79.72,20.4,0,top
J7,159.32,71.0,90,top
L1,75.62,98.1,0,top
L2,27.93,67.1,0,top
Q1,74.72,100.8,90,top
R1,65.83,102.3,90,top
R10,29.82,73.6,0,top
R11,26.12,73.6,0,top
R12,78.33,24.9,90,top
R13,81.53,24.9,90,top
R2,76.72,100.8,90,top
R3,5.22,80.0,180,top
R4,154.82,69.3,180,top
R5,154.93,72.9,180,top
R6,6.42,82.1,90,top
R7,10.12,82.1,270,top
R8,71.03,102.3,270,top
R9,27.93,73.6,0,top
U3,27.93,71.7,0,top
U4,8.72,71.0,90,top
